"Kod";"Nazwa";"Okresy";"Wskaźnik cen";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2007";99,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2008";100,1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2009";100,1;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2010";99,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2011";99,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2012";99,3;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2013";99,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2014";99,4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2015";99,4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2016";99,5;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2017";99,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2018";99,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2019";100,2;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2020";99,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2021";100,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2022";103,8;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2023";99,8;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2024";101,6;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"3 kwartał";"ogółem - okres poprzedni = 100";"2025";100,4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2005";100,5;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2006";100,3;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2007";101,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2008";100,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2009";100,3;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2010";100,9;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2011";101,4;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2012";100,7;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2013";100,2;"-";"";
0400000;"KUJAWSKO-POMORSKIE";"4 kwartał";"ogółem - okres poprzedni = 100";"2014";99,8;"-";"";
